Date : 2025-05-04 23:17:36
Directory : c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith
Total : 306 files,  204434 codes, 10046 comments, 1853 blanks, all 216333 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\web-65DVDEFM.js                                  | JavaScript         |        109 |          2 |          2 |        113 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps\web-BPZ3SWZJ.js                                  | JavaScript         |         53 |          2 |          2 |         57 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps_ssr\_metadata.json                               | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.angular\cache\19.2.3\app\vite\deps_ssr\package.json                                 | JSON               |          3 |          0 |          1 |          4 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\.eslintrc.json                                                                       | JSON               |         46 |          0 |          1 |         47 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\.idea\compiler.xml                                                           | XML                |          6 |          0 |          0 |          6 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\.idea\deploymentTargetSelector.xml                                           | XML                |         10 |          0 |          0 |         10 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\.idea\migrations.xml                                                         | XML                |         10 |          0 |          0 |         10 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\.idea\misc.xml                                                               | XML                |        611 |          0 |          0 |        611 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\.idea\runConfigurations.xml                                                  | XML                |         17 |          0 |          0 |         17 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\build.gradle                                                             | Gradle             |         47 |          2 |          6 |         55 |
| c:\Users\Home\Desktop\Progra\zenith.ai\app\Zenith\android\app\capacitor.build.gradle                                                   | Gradle             |         18 |          1 |          6 |         25 |
